scientificName
Kerivoula papillosa
Kerivoula papuensis
Kerivoula picta
Kerivoula
Large-footed Myotis
Lasionyctens
Lasionycteris noctavagans
Lasionycteris noctivagan
Lasionycteris noctivagans
Lasiurus
Lasiurus borealis
Lasiurus borealis borealis
Lasiurus brachyotus
Lasiurus cinereus
Lasiurus degelidus
Lasiurus ega
Lasiurus intermedius
Lasiurus minor
Lasiurus pfeifferi
Lasiurus seminolus
Lasiurus
Latidens salimalii
Lavia frons
Leptonycteris curasoae
Leptonycteris nivalis
Leptonycteris nivalis nivalis
Leptonycteris sanborni
Leptonycteris yerbabuenae
Lionycteris mordax
Lionycteris spurrelli
Lissonycteris
Lissonycteris angolensis
little brown bat
little red flying-foxes
Lonchophylla concava
Lonchophylla handleyi
Lonchophylla robusta
Lonchophylla thomasi
Lonchorhina aurita
Lonchorhina fernandezi
Lonchorhina orinocensis
Long-eared
long-eared bat
Long-eared bats
Long-eared myotis
long-legged
long-legged bat
Macroderma
Macroderma gigas
Macroglossins
Macroglossus
Macroglossus minimus
Macroglossus sobrinus
Macrophyllum macrophyllum
Macrotis waterhousii
Macrotus
Macrotus brachyphylla
Macrotus californicus
Macrotus waterhousii
Megaderma lyra
Megaderma spasma
Megaderms
Megaloglossus
Megaloglossus woermanni
Melonycteris melanops
Melonycteris woodfordi
Mesophylla
Mesophylla macconnelli
Micronycleris hirsuta
Micronycteris
Micronycteris affinis
Micronycteris brachyotis
Micronycteris hirsuta
Micronycteris megalotis
Micronycteris megalotis mexicana
Micronycteris microtis
Micronycteris minuta
Micronycteris nicefori
Micronycteris platyceps
Micronycteris schmidtorum
Micronycteris sylvestris
Micropteropus
Micropteropus pusillus
Mimetillus moloneyi
Mimon bennettii
Mimon cozumelae
Mimon crenulatum
Minioptera
Minioptera schreibersii
Miniopteres
Miniopterus
Miniopterus australis
Miniopterus fraterculus
Miniopterus fuliginosus
Miniopterus fuscus
Miniopterus inflatus
Miniopterus macrocneme
Miniopterus magnater
Miniopterus medius
Miniopterus propitristis
Miniopterus pusillus
Miniopterus schreibersi
Miniopterus schreibersii
Miniopterus
Miniopterus
Miniopterus tristis
Molosses
Molossians
Molossids
Molossops greenhalli
Molossops planirostris
Molossops temminckii
Molossus
Molossus ater
Molossus ater ater
Molossus ater nigricans
Molossus aztecus
Molossus bondae
Molossus coibensis
Molossus daulensis
Molossus major
Molossus molossus
Molossus rufus
Molossus sinaloae
Molossus trinitatus
Monophyllus
Monophyllus plethodon
Monophyllus portoriensis
Monophyllus redmani
Mormoops
Mormoops blainvillii
Mormoops megalophylla
Mormopterus
Mormopterus beccarii
Mormopterus loriae
Mormopterus minutus
Mormopterus norfolkensis
Mormopterus planiceps
Mormopterus
Mosia nigrescens
Murina aurata
Murina cyclotis
Murina florium
Murina grisea
Murina huttonii
Murina leucogaster
Murina tubinaris
Musonycteris harrisoni
Myonyctercs
Myonycteris torquata
Myonycteris wroughtoni
Myootis myotis
Myopterus
Myotis
Myotis adversus
Myotis albescens
Myotis auriculus
Myotis austroriparius
Myotis bechsteini
Myotis bechsteinii
Myotis blythi
Myotis blythii
Myotis bocagei
Myotis bocagii
Myotis boccagei
Myotis brandii
Myotis brandti
Myotis brandtii
Myotis califomicus
Myotis californicus
Myotis californicus.
Myotis capaccinii
Myotis chinensis
Myotis ciliolabrum
Myotis dasycneme
Myotis daubentoni
Myotis daubentonii
Myotis davidii
Myotis emarginatus
Myotis evotis
Myotis formosus
Myotis fortidens
Myotis grisescens
Myotis grisiscens
Myotis hasseltii
Myotis horsfieldii
Myotis keaysi
Myotis keeni
Myotis keenii
Myotis larensis
Myotis leibii
Myotis longipes
Myotis lucifugus
Myotis macropus
Myotis macrotarsus
Myotis moluccarum
Myotis muricola
Myotis myotis
Myotis myotis/oxygnathus
Myotis mystacinus
Myotis nathalinae
Myotis nattereri
Myotis nigricans
Myotis nigricans dalquesti
Myotis occultus
Myotis oxyotus
Myotis peninsularis
Myotis ricketti
Myotis septentrionalis
Myotis septentrionalis.
Myotis siligorensis
Myotis sodalis
Myotis
Myotis subflavus
Myotis subulatus
Myotis thysanodes
Myotis tricolor
Myotis velifer
Myotis velifer incautus
Myotis vivesi
Myotis volans
Myotis volans amotus
Myotis welwitschii
Myotis yumanensis
Myotis yumanensis yumanensis
Myotts siligorensis
Mystacina
Mystacina robusta
Mystacina tuberculata
Myzopoda
Myzopoda aurata
Myzopoda aurita
Nanonycteris
Nanonycteris veldkampi
Natalus
Natalus lepidus
Natalus macrourus
Natalus mexicanus
Natalus micropus
Natalus
Natalus stramineus
Natalus stramineus saturatus
Natalus straminius
Natalus timidirostris
Natalus tumidirostris
Natterer's
Neoplatymops mattogrossensis
Nicteris javanicus
Noctilio
Noctilio albiventris
Noctilio labialis
Noctilio leporinus
Noctilion
Noctule
Noctules
Notopteris
Notopteris macdonaldi
Nyctalus
Nyctalus lasiopterus
Nyctalus leisleri
Nyctalus noctula
Nyctalus noctule
Nyctalus plancyi
Nyctalus
Nycteris
Nycteris borealis
Nycteris gambiensis
Nycteris grandis
Nycteris hispida
Nycteris macrotis
Nycteris thebaica
Nycticeius
Nycticeius greyii
Nycticeius humeralis
Nycticeius rueppellii
Nycticeius schliejfenii
Nyctimene
Nyctimene aello
Nyctimene albiventer
Nyctimene cephalotes
Nyctimene major
Nyctimene rabori
Nyctimene robinsoni
Nyctimene vizcaccia
Nyctinomops
Nyctinomops laticaudatus
Nyctlcelus humeralis
Nyctopbilus geoffroyi
Nyctopbilus gouldi
Nyctopbilus timoriensis
Nyctophilus
Nyctophilus australis
Nyctophilus bifax
Nyctophilus geoffroyi
Nyctophilus gouldi
Nyctophilus howensis
Nyctophilus major
Nyctophilus microdon
Nyctophilus microtis
Nyctophilus timoriensis
Nytophilus gouldi
Oreillard
Otomops
Otomops wroughtoni
Otonycteris
Otonycteris hemprichi
Otonycteris hemprichii
Paranyctimene raptor
Penthetor lucas
Peropteryx kappleri
Peropteryx leucoptera
Peropteryx macrotis
Peropteryx macrotus
Peropteryx trinitatis
Peters's tent-making bat
Philetor brachypterus
Phoniscus papuensis
Phylloderma stenops
Phyllonycteris aphylla
Phyllonycteris obtusa
Phyllonycteris poeyi
Phyllops falcatus
Phyllops haitiensis
Phyllostomus
Phyllostomus discolor
Phyllostomus discolor discolor
Phyllostomus elongatus
Phyllostomus hastatus
Pipistrelle
Pipistrelles
Pipistrellus
Pipistrellus affinis
Pipistrellus angulatus
Pipistrellus cadornae
Pipistrellus ceylonicus
Pipistrellus coromandra
Pipistrellus dormeri
Pipistrellus hesperus
Pipistrellus hesperus potosinus
Pipistrellus kuhli
Pipistrellus kuhlii
Pipistrellus nanus
Pipistrellus nathusii
Pipistrellus papuanus
Pipistrellus paterculus
Pipistrellus pipistrellus
Pipistrellus pygmaeus
Pipistrellus rueppelli
Pipistrellus s. subflavus
Pipistrellus savii
Pipistrellus
Pipistrellus stamflii
Pipistrellus subflavus
Pipistrellus suvii
Pipistrellus tasmaniensis
Pipistrellus tenuis
Pipistrelus subflavus
Pipistretlus subflavus
Pizonyx vivesi
Platalina genovensium
Platyrrhinus lineatus
Plecotus
Plecotus auritus
Plecotus austriacus
Plecotus austriacus?
Plecotus macrotis
Plecotus mexicanus
Plecotus phyllotis
Plecotus rafinesquei
Plecotus rafinesquii
Plecotus townsendi
Plecotus townsendii
Plerotes anchietae
Promops
Promops centralis
Promops davisoni
Promops nasutus
Ptenochirus
Ptenochirus jagorii
Pteorpus
Pteralopex
Pteronotus
Pteronotus davyi
Pteronotus gymnonotus
Pteronotus macleayi
Pteronotus macleayii
Pteronotus parnellii
Pteronotus personatus
Pteronotus quadridens
Pteronotus rubiginosus mexicanus
Pteronotus
Pteropidae
Pteropids
Pteropodidae
Pteropus
Pteropus alecto
Pteropus capistratus
Pteropus conspicillatus
Pteropus electo
Pteropus faunulus
Pteropus geddiei
Pteropus giganteus
Pteropus gouldi
Pteropus hypomelanus
Pteropus livingstonii
Pteropus macrotis
Pteropus mahaganus
Pteropus mariannus
Pteropus medius
Pteropus melanotus
Pteropus neohibernicus
Pteropus poliocephalus
Pteropus rayneri
Pteropus rufus
Pteropus samoensis
Pteropus scapulatus
Pteropus seychellensis
Pteropus
Pteropus tokudae
Pteropus tonganus
Pteropus vampyrus
Rattus flavipectus
Rhinolophids
Rhinolophus
Rhinolophus affinis
Rhinolophus arcuatus
Rhinolophus beddomei
Rhinolophus blasii
Rhinolophus blasii empusa
Rhinolophus borneensis
Rhinolophus capensis
Rhinolophus clivoslis
Rhinolophus clivosus
Rhinolophus creaghi
Rhinolophus darlingi
Rhinolophus euryale
Rhinolophus euryotis
Rhinolophus ferrumequinum
Rhinolophus ferrumequinum?
Rhinolophus fumigatus
Rhinolophus hildebrandti
Rhinolophus hilderbrantii
Rhinolophus hipposideros
Rhinolophus landeri
Rhinolophus lepidus
Rhinolophus luctus
Rhinolophus macrotis
Rhinolophus megaphyllus
Rhinolophus mehelyi
Rhinolophus pearsoni
Rhinolophus philippinensis
Rhinolophus rex
Rhinolophus rouxi
Rhinolophus rouxii
Rhinolophus rufus
Rhinolophus shameli
Rhinolophus simulator
Rhinolophus sinicus
Rhinolophus subbadius
Rhinolophus swinnyi
Rhinolophus trifoliatus
Rhinolophus yunanensis
Rhinomegalophus paradoxus
Rhinonycteris aurantius
Rhinophus clivosus
Rhinophylla pumilio
Rhinopoma
Rhinopoma hardwickei
Rhinopoma hardwicki
Rhinopoma hardwickii
Rhinopoma microphyllum
Rhinopoma muscatellum
Rhinopterus floweri
Rhogeessa minutilla
Rhogeessa tumida
Rhogessa
Rhynchiscus
Rhynchiscus naso
Rhynchonycteris naso
Rousettus
Rousettus aegyptiacus
Rousettus amplexicaudatus
Rousettus amplexxcaudatus
Rousettus leschenaulti
Rousettus leschenaultii
Roussettes
Rynchiscus naso
Saccolaimus flaviventris
Saccolaimus mixtus
Saccolaimus peli
Saccolaimus saccolaimus
Saccopteryx
Saccopteryx bilineata
Saccopteryx leptura
Saccopteryx macrotis
Sauromys petrophilus
Scotoecus pallidus
Scotomanes
Scotomanes ornatus
Scotomaniacs rufoniger
Scotonycteris
Scotophilus
Scotophilus borbonicus
Scotophilus dinganii
Scotophilus heathii
Scotophilus kuhli
Scotophilus kuhlii
Scotophilus leucogaster
Scotophilus nigrita
Scotophilus temmincki
Scotophilus viridis
Scotorepens balstoni
Scotorepens sanborni
Serotine
Serotines
silver-haired bat
silver-haired bats
small blossom bats
Southern Freetail Bat
Stenoderma rufum
Stenodermatinae
Sternoderma rufum
Sturnira
Sturnira erythromos
Sturnira lilium
Sturnira thomasi
Syconycteris australis
Tadarida
Chaerephon plicata
Tadarida plicata
Tadarida aegyptiaca
Tadarida ansorgei
Tadarida ansorgenei
Tadarida aurispinosa
Tadarida australis
Tadarida brasiliensis
Tadarida brasiliensis mexicana
Tadarida condylura
Tadarida cynocephala
Tadarida europs
Tadarida femorosacca
Tadarida gracilis
Tadarida laticaudata
Tadarida laticaudata ferruginea
Tadarida laticaudata ferruginea
Tadarida macrotis
Tadarida major
Tadarida mexicana
Tadarida midas
Tadarida molossa
Tadarida plicata
Tadarida pumila
Tadarida
Tadarida taeniotis
Tadarida teniotis
Tadarida yucatanica
Taphozous
Liponycteris nudiventris
Taphozous nudiventris
Taphozous australis
Taphozous flaviventris
Taphozous kaccliensis
Taphozous longimanus
Taphozous mauritianus
Taphozous melanopogon
Taphozous nudiventris
Taphozous perforatus
Taphozous saccolaimus
Taphozous
Taphozous theobaldi
Thomas's fruit-eating bat
Thomas's fruit-eating bats
Thyroptera
Thyroptera discifera
Thyroptera tricolor
Thyropteridae
Tonatia
Tonatia bidens
Tonatia brasiliensis
Tonatia carrikeri
Tonatia minuta
Tonatia silvicola
Toniata
Toniata minuta
Trachops cirrhosus
Triaenops
Triaenops persicus
Tylonycteris
Tylonycteris pachypus
Tylonycteris robustula
Uroderma
Uroderma bilobattum
Uroderma bilobatum
Uroderma magnirostrum
Vampyressa
Vampyressa macconnelli
Vampyressa nymphaea
Vampyressa nympheae
Vampyressa pusilla
Vampyressa pusilla thyone
Vampyrodes
Vampyrodes caraccioli
Vampyrodes caraccioloi
Vampyrops
Vampyrops helleri
Vampyrops infuscus
Vampyrops lineatus
Vampyrum spectrum
Vespadelus darlingtoni
Vespadelus pumilus
Vespadelus regulus
Vespadelus troughtoni
Vespadelus vulturnus
Vespertilio murinus
Whiskered Bat
